,x,y,z,cluster_labels_baseline
399,4.581646,9.468856,1.9220841,VLR
400,4.896861,8.271845,0.1649579,LRHB
401,4.2792525,2.7202947,2.3715749,HRIR
402,2.117258,6.180317,1.7418952,LRHB
403,5.0086784,9.32244,2.5315063,VLR
404,3.7109466,6.5028834,0.91746765,LRHB
405,5.0660677,0.8279967,0.98228556,HRIR
406,8.153159,10.747201,2.370093,VLR
407,5.309543,1.2274821,0.82652855,HRIR
408,4.986386,8.895611,3.4574354,VLR
409,7.4069505,8.730719,6.22557,VLR
410,2.7923417,3.1496193,1.8043717,LRHB
411,2.2936702,4.258623,2.8032596,LRHB
412,4.9276466,5.9296727,1.6505117,LRHB
413,5.209428,11.084788,4.186886,VLR
414,1.8226047,3.4871955,3.4440072,HRVP
415,4.356783,5.0546465,7.5128055,HRBF
416,5.0894976,12.042913,4.5851974,VLR
417,4.3783317,6.5670056,0.90140384,LRHB
418,2.117402,7.555545,0.2831414,LRHB
419,7.874866,12.736465,2.4520152,VLR
420,5.048445,11.682416,1.6884947,VLR
421,7.5608993,11.895993,3.2678955,VLR
422,7.846557,11.083891,4.436488,VLR
423,6.8569393,5.8581767,0.80224437,LRHB
424,6.5294724,10.040655,0.614222,VLR
425,5.2811017,0.90703064,2.0097375,HRIR
426,2.7066984,3.4512262,5.428023,HRBF
427,0.087018274,5.4625483,8.02534,HRVP
428,4.6844544,7.3358264,1.4385421,LRHB
429,5.998686,3.087177,2.3404443,HRIR
430,5.8946924,12.011573,5.858648,VLR
431,0.59322065,9.074898,5.872832,LRMP
432,4.565996,7.437727,1.072698,LRHB
433,2.0197525,5.28136,7.9984436,HRBF
434,8.547432,11.198461,4.501325,VLR
435,7.3404474,12.549633,3.9168358,VLR
436,4.663951,13.069535,3.058367,VLR
437,4.7039113,10.599226,5.69025,VLR
438,6.7991915,5.141672,2.1556616,LRHB
439,4.3180084,11.604579,5.2269983,VLR
440,5.6971426,11.730979,3.9332395,VLR
441,6.603976,7.586816,5.4923368,HRBF
442,4.235432,7.4918375,0.9187917,LRHB
443,4.750013,11.680218,2.096299,VLR
444,6.1115446,1.0821519,2.3081625,HRIR
445,7.001126,12.665582,4.235508,VLR
446,2.0998714,2.1995044,2.2678485,LRHB
447,2.1042697,4.040209,1.0053712,LRHB
448,1.511245,6.523736,6.0315394,LRMP
449,-0.44543523,7.9465494,4.9597564,LRMP
450,5.9033985,5.736124,4.616708,HRBF
451,3.048488,5.149116,1.0783135,LRHB
452,3.557512,2.2354975,5.200713,HRVP
453,4.3091354,1.8360327,0.96078646,HRIR
454,4.6887865,3.6176696,2.5528944,HRBF
455,4.327629,2.587844,0.2415619,HRIR
456,-0.076797344,9.233304,3.8021247,LRHB
457,5.110842,6.0715165,2.6696794,LRHB
458,-0.18965547,9.87624,4.7183905,LRMP
459,4.523086,1.7313225,0.63528347,HRIR
460,3.9435873,3.2460816,1.1540906,LRHB
461,2.7967563,5.092763,2.147401,LRHB
462,2.0457234,8.412516,4.0452795,LRMP
463,3.976973,2.699308,0.42924523,LRHB
464,-0.1425648,9.271496,4.1438913,LRHB
465,-0.19108744,9.179913,4.7657466,LRMP
466,4.1623783,10.428853,1.049365,VLR
467,6.086103,8.020677,1.4635562,LRHB
468,5.132934,11.873825,5.337159,VLR
469,1.2228531,6.5385623,1.7921576,LRHB
470,7.203723,10.322477,6.3243794,VLR
471,1.9241638,7.102055,6.809844,LRMP
472,5.995067,9.069303,6.911978,VLR
473,0.3618202,5.229787,6.5567775,HRVP
474,1.9762087,5.552412,4.271912,LRHB
475,0.9655444,8.000941,5.8634224,LRMP
476,5.5088935,8.273554,4.7682314,HRBF
477,4.1077576,3.6558974,3.1375468,LRHB
478,6.712228,10.141305,5.8144727,VLR
479,2.640964,6.9701715,7.4822407,LRMP
480,1.2067833,9.67029,3.1728306,LRMP
481,1.6357567,11.4216,3.9623036,LRMP
482,4.423219,12.490226,2.1698587,VLR
483,0.5183071,7.736517,7.1785426,LRMP
484,2.0742216,8.224826,2.64021,LRMP
485,7.5589933,7.531451,4.2822633,VLR
486,5.1096544,11.872342,6.061931,VLR
487,3.669827,4.410704,5.9365435,HRBF
488,2.913843,7.2098675,7.983549,HRBF
489,1.9461783,10.673406,4.1991,LRMP
490,4.8555036,3.9916303,1.54195,LRHB
491,2.1482174,7.3896585,7.0854554,LRMP
492,3.4586067,7.3736978,4.702454,HRBF
493,0.53475296,10.131983,5.773954,LRMP
494,5.354263,9.184831,6.7563963,HRBF
495,2.8953466,7.02556,8.53065,LRMP
496,4.8469105,11.281976,4.2461815,VLR
497,8.812172,10.647695,3.7525249,VLR
498,0.0004912703,9.325028,4.9235373,LRMP
499,2.085468,6.8835034,3.3775704,LRMP
500,8.381195,10.175891,3.565801,HRBF
501,0.0026130506,9.226741,5.9409857,LRMP
502,2.3090198,7.3206186,1.2557845,LRHB
503,7.201308,4.6164145,2.9949312,HRBF
504,0.8999117,9.389543,2.30385,LRMP
505,2.0560088,5.3891373,3.4177742,LRHB
506,4.9512744,6.979041,2.581625,HRBF
507,4.4295797,3.3609688,0.89452344,LRHB
508,4.590695,11.820414,5.502564,VLR
509,8.190582,12.165083,2.2958457,VLR
510,2.4272,7.624275,6.6406274,LRMP
511,5.4920664,2.5517023,2.1624565,HRIR
512,3.4283144,5.5201626,5.2720942,HRBF
513,4.701347,3.7389534,4.944877,HRBF
514,5.155106,4.060185,5.249631,HRBF
515,7.5166364,7.7864594,2.06253,LRHB
516,7.9836235,9.450253,2.7524407,VLR
517,5.019845,9.637893,1.0106728,VLR
518,5.7981777,11.2139225,4.736687,VLR
519,5.045838,1.7076206,0.9560718,HRIR
520,1.1682407,9.09148,5.5850296,LRMP
521,6.471577,8.051974,1.2024376,LRHB
522,1.3385142,7.7126255,1.4547516,LRHB
523,8.045052,12.087697,3.128359,VLR
524,7.6991377,9.306156,1.3458774,VLR
525,5.837009,1.0729673,0.9429119,HRIR
526,1.1143786,5.281705,3.788438,HRVP
527,4.543035,4.800342,2.5450923,HRBF
528,1.9640144,6.1381,3.40171,LRMP
529,4.2467785,4.5923333,2.3764,LRHB
530,7.883142,8.272892,2.8280678,LRHB
531,5.1206155,11.633197,2.9486177,VLR
532,0.92226607,9.881645,3.2468839,LRMP
533,3.204821,1.0326378,4.6128006,HRIR
534,4.988011,10.984135,3.3201947,VLR
535,4.894306,3.4801276,4.7721777,HRBF
536,5.867818,7.3955026,1.3247052,LRHB
537,0.91848016,7.786061,5.014871,LRMP
538,7.6245456,7.3397565,1.5396864,LRHB
539,1.2688086,7.63713,6.7942533,LRMP
540,3.7458956,6.8497996,0.6718793,LRHB
541,2.156968,2.2896802,5.7603,HRVP
542,3.3568358,3.8735485,2.9809577,HRBF
543,2.863257,8.680443,5.6211047,LRMP
544,3.1039202,5.3802943,2.540739,LRHB
545,1.136975,9.622214,3.8813417,LRMP
546,1.508657,9.692719,5.1630926,LRMP
547,7.5759315,7.8173456,1.432565,LRHB
548,8.323824,10.436977,3.8401363,VLR
549,-0.5211326,4.1077757,5.646519,HRVP
550,7.428375,5.310028,2.5638435,HRBF
551,2.033284,4.9622126,5.05392,LRMP
552,1.4075274,6.8243084,4.8748684,LRMP
553,3.4462361,6.4652696,1.937191,LRHB
554,0.9913593,8.480597,5.0086775,LRMP
555,3.3085005,3.2632005,2.4932244,LRHB
556,7.576364,6.3996887,2.0697138,LRHB
557,2.5288188,4.9889703,2.532369,LRHB
558,3.041656,5.6064754,0.54637194,LRHB
559,7.00378,4.0951343,1.9920297,HRIR
560,8.319742,10.050069,3.6927135,VLR
561,0.59293926,9.51156,4.0245,LRMP
562,1.4994233,9.982136,3.9156914,LRMP
563,4.054763,5.8220778,7.2668347,HRBF
564,4.807326,6.212976,1.85335,LRHB
565,4.858578,7.5560946,7.204498,HRBF
566,5.9255996,9.465041,2.3742373,VLR
567,6.072356,9.286648,5.2265024,HRBF
568,0.9084067,3.829562,7.2230754,HRVP
569,8.62374,9.852528,4.3788204,VLR
570,-0.098401204,5.333976,7.562175,HRVP
571,6.658319,7.7037363,5.31517,HRBF
572,2.612747,1.5431896,4.249541,HRVP
573,0.8485331,4.4652276,8.536373,HRVP
574,5.8694534,9.35427,4.562462,HRBF
575,6.3946285,8.364262,5.5258813,HRBF
576,5.2034583,9.99281,4.429646,HRBF
577,2.5293224,2.4745882,4.4177446,HRVP
578,6.062568,5.1572027,6.132122,HRBF
579,4.4353476,2.573623,4.28014,HRBF
