,x,y,z,cluster_labels_baseline
569,3.238997,-1.0165044,7.423558,LRMP
570,5.5269876,0.6092714,5.671353,LRMP
571,1.2124857,-1.0746722,6.376489,VLR
572,8.696817,1.0593393,7.0825424,LRMP
573,0.7578107,-0.4966673,4.9069586,VLR
574,4.867638,9.001002,6.173632,HRBF
575,7.28853,3.037091,5.6509833,LRMP
576,4.7938285,2.0983129,7.591398,LRMP
577,3.7135704,1.3236414,6.239104,LRMP
578,9.148562,4.6021614,6.1540327,HRVP
580,-0.111439295,2.30407,6.165751,VLR
581,7.370779,5.710258,4.321278,HRVP
582,-0.087826595,-1.8544468,4.1230164,VLR
583,1.7628351,3.302489,7.7694874,HRBF
584,0.41851255,-1.2234663,6.9239497,VLR
585,2.556541,0.9466006,7.360867,VLR
586,2.444744,5.4517317,4.6774583,HRBF
587,8.980654,0.9651768,7.023104,LRMP
588,3.46844,0.1704469,7.8528185,LRMP
589,8.540411,4.3314867,6.624726,HRVP
590,4.097776,1.9012885,3.5706866,LRMP
591,0.38246763,-1.7174397,3.4222074,VLR
593,2.66326,3.4109159,4.516075,HRBF
595,4.943297,8.540367,6.8009934,HRBF
596,7.5774302,5.5113025,5.8263345,HRVP
597,6.6342573,0.012001405,7.318124,LRMP
598,6.552113,5.236127,4.916696,LRHB
599,7.766296,2.991752,8.381464,LRMP
600,3.0866985,0.6587275,7.5637884,LRMP
601,3.1785903,4.9871917,5.179184,HRBF
602,4.1677074,-1.2288212,5.075464,LRMP
603,4.961086,7.257229,6.571458,HRBF
604,3.106344,-0.8791798,4.815698,VLR
605,5.222709,1.0907416,8.895292,LRMP
606,7.840344,5.9257793,6.6607656,HRVP
607,5.454691,-0.5279995,7.124494,LRMP
608,8.808064,2.6519856,7.994204,LRMP
609,0.6534442,0.0023654557,5.968396,VLR
610,5.8019147,-0.110231355,6.4425983,LRMP
611,4.4737077,7.72824,5.819068,HRBF
612,1.5662715,4.0936637,6.5916944,HRBF
613,7.843602,0.61316806,7.4495335,LRMP
614,3.3268297,3.0420177,6.8406,LRMP
615,4.5519032,1.1937039,8.178491,LRMP
616,5.7695932,-0.35746476,4.804439,LRMP
618,6.302969,2.9227073,4.1453753,LRMP
619,5.4929085,0.20618077,7.380829,LRMP
620,10.576804,4.8251076,6.2434244,HRVP
621,5.159373,0.36592135,4.6200256,LRMP
623,6.560085,0.39677978,6.0708075,LRMP
624,5.485515,6.3386774,5.908745,HRBF
